"","id","Name","Game-Calling Runs (Pitch Value)","Game-Calling Runs (Predicted Pitch Value)"
"131",593993,"Jose Briceno",-6.8,1.1
"132",594828,"Evan Gattis",22.6,6.3
"133",595284,"Andrew Knapp",34.1,-7.4
"134",595453,"Chad Wallach",14.6,-2.3
"135",595751,"Jorge Alfaro",-18.4,-3
"136",595956,"Cam Gallagher",4.6,6.2
"137",595978,"Austin Hedges",60.2,12.9
"138",596117,"Garrett Stubbs",1.6,1.5
"139",596119,"Blake Swihart",5.6,-5.6
"140",596142,"Gary Sanchez",-3.5,6.4
"141",600466,"Raudy Read",-2.6,1
"142",600474,"Pedro Severino",34.5,2.6
"143",605131,"Austin Barnes",45.4,21.2
"144",605170,"Victor Caratini",10.1,8.1
"145",605244,"Aramis Garcia",14,1.6
"146",605357,"Mike Marjama",-11.1,-0.9
"147",605421,"Michael Perez",-14.1,2.8
"148",606213,"Yermin Mercedes",-0.3,0
"149",606988,"Grayson Greiner",-6.5,-1.2
"150",606992,"Eric Haase",14.2,4.5
"151",607257,"Rafael Lopez",3,-0.3
"152",607333,"Beau Taylor",4,-0.2
"153",607345,"Kevan Smith",34.1,16.2
"154",607732,"Jacob Stallings",39.9,6.8
"155",608348,"Carson Kelly",-4.6,9.8
"156",608422,"Jose Godoy",5.5,-0.5
"157",608596,"Tom Murphy",14.8,-1.1
"158",608700,"Kevin Plawecki",-1.1,9.3
"159",620443,"Luis Torrens",-12.5,-3.9
"160",620453,"Deivy Grullon",-0.1,-1
"161",621493,"Taylor Ward",-0.6,-0.8
"162",621512,"Tomas Nido",27,-0.6
"163",621529,"Joe Hudson",0.3,0
"164",621532,"Anthony Bemboom",7.4,0
"165",622194,"Bruce Maxwell",0.1,4.1
"166",623143,"Trevor Brown",-10.4,-1.6
"167",623168,"Tyler Heineman",-0.8,2.2
"168",624419,"Nick Ciuffo",-0.3,1.2
"169",624431,"Jose Trevino",-1.4,3.5
"170",624512,"Reese McGuire",11.4,-2
"171",624513,"Dom Nunez",2.9,3
"172",640459,"Brian Navarreto",-0.8,-1.2
"173",641470,"Zack Collins",-13.6,2.4
"174",641598,"Mitch Garver",17.6,8
"175",641680,"Jonah Heim",13.5,-3.2
"176",641924,"Jacob Nottingham",6.3,5.2
"177",641929,"Joseph Odom",4.4,1.7
"178",642082,"Chance Sisco",4.3,19.1
"179",642156,"Stuart Turner",1.3,1.2
"180",642336,"Francisco Mejia",-4.8,14.8
"181",642851,"Austin Wynns",-9.8,-8.2
"182",643376,"Danny Jansen",-9.4,-5.8
"183",643396,"Isiah Kiner-Falefa",-3.5,1.3
"184",644433,"Chadwick Tromp",6.2,-1.8
"185",645305,"Ali Sanchez",0.1,1
"186",650619,"Meibrys Viloria",-8,-2.8
"187",656180,"Riley Adams",2.3,1.5
"188",656494,"Taylor Gushue",0.5,0.2
"189",656577,"Alex Jackson",-8.6,1.2
"190",656883,"Jakson Reetz",1.1,0.1
"191",656941,"Kyle Schwarber",-12.1,-5
"192",657136,"Connor Wong",-0.7,-0.4
"193",660688,"Keibert Ruiz",-0.9,0.1
"194",661388,"William Contreras",1.5,0
"195",662139,"Daulton Varsho",-3.2,-4.9
"196",663698,"Joey Bart",3.7,1.8
"197",663728,"Cal Raleigh",-5.8,1.4
"198",663886,"Tyler Stephenson",7.4,3.1
"199",664119,"Austin Allen",-2.5,-1.5
"200",664731,"P. J. Higgins",4.1,1.9
"201",664850,"Patrick Mazeika",1.3,1.9
"202",664874,"Seby Zavala",4.7,-0.2
"203",664926,"Nick Dini",0.4,-0.6
"204",665561,"Rafael Marchan",-7.5,-0.6
"205",665861,"Sebastian Rivero",-3.2,-1.8
"206",666163,"Ben Rortvedt",-4.7,-2.2
"207",667674,"Jack Kruger",0.3,-0.1
"208",668663,"Tres Barrera",0.9,4.1
"209",668670,"Jake Rogers",-3.9,-0.5
"210",668800,"Andrew Knizner",-4.6,1.2
"211",669087,"Sam Huff",-4.8,-2
"212",669134,"Luis Campusano",1.6,-0.9
"213",669221,"Sean Murphy",7,5.4
"214",669257,"Will Smith",-36,-8.6
"215",672386,"Alejandro Kirk",-11.2,-2.7
"216",680777,"Ryan Jeffers",-0.3,2.4
